"exposure","outcome","Method","Heterogeneity_Q","Q_df","Q_P.value","Egger_intercept","SE","P.value"
"","ebi-a-GCST90018894","IVW","32.2129","63","0.9996","","",""
"SLC25A39","ebi-a-GCST90018894","MR Egger","52.6884","56","0.601","-0.02161","0.011668","0.0692943"
"","ebi-a-GCST90018894","IVW","56.1185","57","0.5081","","",""
"SLPI","ebi-a-GCST90018894","MR Egger","50.9249","61","0.8177","0.003762","0.008056","0.642207"
"","ebi-a-GCST90018894","IVW","51.143","62","0.8359","","",""
"TCN1","ebi-a-GCST90018894","MR Egger","45.3141","101","1","0.013316","0.008312","0.112256"
"","ebi-a-GCST90018894","IVW","47.8808","102","1","","",""
"TFPI","ebi-a-GCST90018894","MR Egger","18.8046","12","0.09335","0.026022","0.033771","0.455878"
"","ebi-a-GCST90018894","IVW","19.7351","13","0.102","","",""
"THBS4","ebi-a-GCST90018894","MR Egger","2.1028","6","0.91","-0.064814","0.090357","0.500142"
"","ebi-a-GCST90018894","IVW","2.6174","7","0.918","","",""
"TNFSF4","ebi-a-GCST90018894","MR Egger","88.0903","102","0.8352","-0.003036","0.005511","0.582918"
"","ebi-a-GCST90018894","IVW","88.3938","103","0.8469","","",""
"TPST1","ebi-a-GCST90018894","MR Egger","94.3406","188","1","-0.011219","0.006172","0.0706753"
"","ebi-a-GCST90018894","IVW","97.6452","189","1","","",""
"UCHL1","ebi-a-GCST90018894","MR Egger","26.1642","17","0.07152","-0.058634","0.071528","0.423711"
"","ebi-a-GCST90018894","IVW","27.1985","18","0.07535","","",""
"VWCE","ebi-a-GCST90018894","MR Egger","33.3632","69","0.9999","-0.008216","0.009443","0.387252"
"","ebi-a-GCST90018894","IVW","34.1203","70","0.9999","","",""
